,Original Name,Description
0,faulty generalization,an informal fallacy wherein a conclusion is drawn about all or many instances of a phenomenon on the basis of one or a few instances of that phenomenon. is an example of jumping to conclusions.
1,false causality,statement that jumps to a conclusion implying a causal relationship without supporting evidence
2,circular reasoning,when the end of an argument comes back to the beginning without having proven itself.
3,ad populum,a fallacious argument which is based on affirming that something is real or better because the majority thinks so
4,ad hominem," instead of addressing someone's argument or position, you irrelevantly attack the person or some aspect of the person who is making the argument."
5,fallacy of logic,an error in the logical structure of an argument.
6,appeal to emotion,manipulation of the recipient's emotions in order to win an argument
7,false dilemma,presenting only two options or sides when there are many options or sides.
8,equivocation,"when a key term or phrase in an argument is used in an ambiguous way, with one meaning in one portion of the argument and then another meaning in another portion of the argument."
9,fallacy of extension,attacking an exaggerated or caricatured version of your opponent's position.
11,fallacy of credibility,attempts to disprove an argument by attacking the character of the speaker.
12,intentional,some intentional (sometimes subconscious) action/choice to incorrectly support an argument
13,fallacy of red herring,"irrelevant information is presented alongside relevant information, thus distracting the attention from that relevant information"
14,prejudicial language,loaded or emotive terms are used to attach value or moral goodness to believing the proposition
15,slothful induction,an inductive argument is denied its proper conclusion
16,fallacy of slippery slope,an argument that suggests that a certain initial action could result in a chain of events with extreme results